id_aviso,titulo,zona_barrio,tipo,precio,expensas,superficie_total,superficie_cubierta,ambientes,dormitorios,banios,antiguedad,cochera,balcon,amenities,latitud,longitud,fecha_publicacion
A-700480,Departamento en alquiler en Belgrano - 4 ambientes,BELGRANO,Departamento,1.267.000,140298.0,75,75.0,4 amb.,3.0,2.0,4 años,Sí,Sí,,-34.549646421652646,-58.462834001141694,04/01/2025
A-220016,Departamento en alquiler en Almagro - 2 ambientes,Almagro,Departamento,584.000,77822.0,39,,2 amb.,1.0,,6,No,No,,-34.60873815826056,-58.43909947532191,15/01/2024
A-492142,Departamento en alquiler en Flores - 2 ambientes,Flores,Departamento,252.000,,35 m²,35.0,2,,1.0,23,Sí,No,,"-34,62205081312381",-58.45626733855754,07/03/2024
A-675147,PH en alquiler en Belgrano - 2 ambientes, Belgrano ,PH,546.000,,38 m²,38.0,2 amb.,1.0,1.0,A estrenar,No,No,Pileta,-34.574756771995716,-58.463757544997684,04/12/2024
A-307536,Departamento en alquiler en Villa Urquiza - 1 ambientes,Villa Urquiza,Departamento,337.000,52942.0,33 m²,,1,,1.0,2,No,Sí,,-34.55428879305003,-58.4866156408398,25/02/2024
A-971306,Departamento en alquiler en Boedo - 3 ambientes,Boedo,Departamento,774.000,77311.0,76,76.0,3,2.0,,24,Sí,Sí,,-34.62344873911467,-58.40810592330541,23/11/2024
A-247481,PH en alquiler en Palermo - 2 ambientes,Palermo,PH,1.324.000,,66 m²,66.0,2,1.0,1.0,16,Sí,Sí,,-34.586347936612235,-58.41099567971239,29/06/2024
A-148608,Departamento en alquiler en Palermo - 1 ambientes,Palermo,Departamento,USD 741,110713.0,37 m²,37.0,1,1.0,1.0,A estrenar,No,No,,-34.5582681308029,-58.42566948108769,13/06/2025
A-397070,Casa en alquiler en Recoleta - 3 ambientes,Recoleta,Casa,1.513.000,,60,60.0,3 amb.,2.0,1.0,5,Sí,No,,-34.59633012083062,-58.39006811756547,26/06/2024
A-558506,Departamento en alquiler en Flores - 6 ambientes,Flores,Departamento,1.024.000,,102 m²,102.0,6 amb.,5.0,4.0,13,No,Sí,,-34.646815062261375,-58.45992555502545,28/04/2025
A-953618,Departamento en alquiler en Colegiales - 1 ambientes,Colegiales,Departamento,611.000,,37,37.0,1 amb.,1.0,1.0,37,No,Sí,,-34.56656285878113,-58.46213980954331,02/03/2025
