listing_id,category_l1,category_l2,property_type,neighborhood,price_ars,covered_area_m2,total_area_m2,rooms,bedrooms,bathrooms,age_years,has_garage,has_balcony,has_pool,lat,lng,created_at
MLA757902287,Inmuebles,Alquiler,DEPARTAMENTO,Palermo,713000.0,50.0,50.0,,2.0,1.0,14.0,False,True,False,-34.549232,-58.42551,2025-01-18 00:00:00
MLA371511639,Inmuebles,Alquiler,DEPARTAMENTO,Almagro,724000.0,50.0,50.0,2.0,1.0,1.0,,False,False,False,-34.586467,-58.439921,2024-08-08 00:00:00
MLA154908801,Inmuebles,Alquiler,DEPARTAMENTO,Almagro,348000.0,42.0,,2.0,,1.0,13.0,True,False,False,-34.607493,-58.417589,2024-08-18 00:00:00
MLA403100436,Inmuebles,Alquiler,DEPARTAMENTO,Villa Urquiza,1217000.0,66.0,66.0,2.0,1.0,1.0,2.0,True,True,False,-34.567514,-58.487023,2024-11-03 00:00:00
MLA346000441,Inmuebles,Alquiler,CASA,Palermo,1121000.0,86.0,164.0,3.0,2.0,1.0,1.0,True,False,True,-34.589963,-58.444575,2025-03-22 00:00:00
MLA342702410,Inmuebles,Alquiler,CASA,Flores,797000.0,105.0,,4.0,3.0,,,False,False,True,-34.623549,-58.461599,2025-06-21 00:00:00
MLA570288786,Inmuebles,Alquiler,DEPARTAMENTO,Villa Crespo,469000.0,34.0,34.0,1.0,1.0,1.0,13.0,False,False,False,-34.589517,-58.440087,2025-06-11 00:00:00
MLA508175010,Inmuebles,Alquiler,DEPARTAMENTO,Palermo,501000.0,40.0,40.0,2.0,1.0,1.0,,True,False,False,-34.585788,-58.413522,2025-04-29 00:00:00
MLA602121056,Inmuebles,Alquiler,DEPARTAMENTO,Recoleta,1661000.0,76.0,76.0,3.0,2.0,,1.0,True,True,False,-34.589681,-58.38244,2024-09-19 00:00:00
MLA329922897,Inmuebles,Alquiler,DEPARTAMENTO,Villa Urquiza,1447000.0,81.0,81.0,4.0,3.0,2.0,,True,False,False,-34.596461,-58.495277,2024-08-31 00:00:00
MLA603100927,Inmuebles,Alquiler,DEPARTAMENTO,Villa Urquiza,1311000.0,73.0,73.0,4.0,3.0,2.0,0.0,False,True,False,-34.576573,-58.486895,2024-10-07 00:00:00
MLA846632572,Inmuebles,Alquiler,DEPARTAMENTO,Villa Urquiza,543000.0,36.0,36.0,2.0,1.0,1.0,,True,False,False,-34.583029,-58.486161,2024-06-26 00:00:00
MLA586448951,Inmuebles,Alquiler,PH,Flores,488000.0,69.0,72.0,3.0,2.0,1.0,79.0,True,False,True,-34.649515,-58.458389,2024-03-03 00:00:00
MLA458963194,Inmuebles,Alquiler,DEPARTAMENTO,Caballito,1071000.0,72.0,,4.0,3.0,2.0,20.0,False,True,False,-34.617741,-58.43456,2025-01-25 00:00:00
MLA126693993,Inmuebles,Alquiler,DEPARTAMENTO,Recoleta,706000.0,48.0,,1.0,1.0,1.0,8.0,True,True,False,-34.58934,-58.390303,2024-10-23 00:00:00
MLA576218714,Inmuebles,Alquiler,DEPARTAMENTO,Boedo,452000.0,50.0,50.0,1.0,1.0,1.0,17.0,False,False,False,-34.609562,-58.417272,2024-08-17 00:00:00
MLA840715815,Inmuebles,Alquiler,DEPARTAMENTO,Flores,683000.0,60.0,,3.0,,2.0,0.0,False,True,False,-34.64083,-58.456952,2025-03-14 00:00:00
MLA566024231,Inmuebles,Alquiler,DEPARTAMENTO,Colegiales,591000.0,,,2.0,1.0,1.0,52.0,False,True,False,-34.563448,-58.444425,2024-07-01 00:00:00
MLA376610509,Inmuebles,Alquiler,DEPARTAMENTO,Recoleta,572000.0,35.0,35.0,1.0,1.0,1.0,,False,True,False,-34.571963,-58.376923,2024-03-11 00:00:00
MLA276857188,Inmuebles,Alquiler,PH,Belgrano,759000.0,48.0,57.0,2.0,1.0,1.0,,True,False,True,-34.577064,-58.474121,2024-09-09 00:00:00
MLA961785212,Inmuebles,Alquiler,DEPARTAMENTO,Villa Urquiza,350000.0,31.0,,1.0,1.0,1.0,,True,False,False,-34.579482,-58.49895,2025-01-17 00:00:00
MLA305775230,Inmuebles,Alquiler,PH,Almagro,1055000.0,61.0,71.0,2.0,1.0,1.0,3.0,True,False,False,-34.589448,-58.420752,2025-05-28 00:00:00
MLA798440721,Inmuebles,Alquiler,DEPARTAMENTO,Flores,213000.0,22.0,22.0,,1.0,1.0,10.0,False,False,False,-34.622118,-58.466385,2024-10-09 00:00:00
MLA430154904,Inmuebles,Alquiler,DEPARTAMENTO,Boedo,1388000.0,82.0,82.0,5.0,4.0,3.0,7.0,False,True,False,-34.622535,-58.402136,2024-06-14 00:00:00
