codigo,operacion,tipo_inmueble,barrio,precio_publicado,superficie,descripcion,coordenadas,publicado
AP-64391,Alquiler,ph,Villa Urquiza,$678.000/mes,55,2 ambientes. 1 dorm. 1 baños. pileta,"-34.57599599633878,-58.47863988110282",10-03-2024
AP-82260,Alquiler,ph,Colegiales,$700.000/mes,50,2 ambientes. 1 dorm. 1 baños. balcón. 11 años,"-34.582690398643514,-58.4524965859866",30-11-2024
AP-66765,Alquiler,departamento,Caballito,$719.000/mes,41,3 ambientes. 2 baños. 11 años,,28-07-2024
AP-42570,Alquiler,departamento,Villa Crespo,$1.391.000/mes,58,3 ambientes. 2 dorm. con cochera. 4 años,,31-12-2024
AP-64652,Alquiler,departamento,Recoleta,Consultar,53,3 ambientes. 2 dorm. 2 baños. con cochera. 18 años,,08-01-2025
AP-33554,Alquiler,ph,San Telmo,$609.000/mes,62,2 ambientes. 1 dorm. 1 baños. con cochera. pileta. a estrenar,,12-03-2024
AP-11701,Alquiler,departamento,Palermo,$713.000/mes,50,2 dorm. 1 baños. balcón,"-34.54923245237094,-58.4255104834611",24-09-2024
AP-60779,Alquiler,departamento,Almagro,$1.284.000/mes,72,3 ambientes. 2 dorm. 1 baños,"-34.61611799019802,-58.41093381687366",27-04-2025
AP-44398,Alquiler,ph,Recoleta,$1.211.000/mes,58 a 68 m2,2 ambientes. 1 dorm. 1 baños. con cochera. pileta. balcón. 5 años,,15-09-2024
AP-95524,Alquiler,departamento,Flores,$1.741.000/mes,108,5 ambientes. 4 dorm. 3 baños,,04-03-2025
AP-78025,Alquiler,departamento,Belgrano,$540.000/mes,24,1 ambientes. con cochera. 20 años,,04-02-2025
AP-33162,Alquiler,departamento,San Telmo,$586.000/mes,49,1 dorm. 1 baños. balcón,"-34.61066600516821,-58.38932524066692",11-01-2024
AP-54750,Alquiler,casa,Flores,$872.000/mes,60,3 ambientes. 2 dorm. 2 baños. con cochera,"-34.613715176138896,-58.479389408876024",15-08-2024
AP-75491,Alquiler,departamento,Boedo,$883.000/mes,75,3 ambientes. 2 dorm. balcón,"-34.60765268167845,-58.41747786290642",18-10-2024
AP-73609,Alquiler,departamento,Caballito,$476.000/mes,28,18 años,"-34.6200452624643,-58.45063292018349",22-12-2024
AP-39263,Alquiler,departamento,Recoleta,$745.000/mes,42,2 ambientes. 1 dorm. 1 baños. 10 años,,27-01-2025
